,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
date,Cafe au Lait Spots,isPartial,state,symptom
2016-04-01,39,False,CA,Cafe au Lait Spots
2016-05-01,33,False,CA,Cafe au Lait Spots
2016-06-01,38,False,CA,Cafe au Lait Spots
2016-07-01,45,False,CA,Cafe au Lait Spots
2016-08-01,26,False,CA,Cafe au Lait Spots
2016-09-01,41,False,CA,Cafe au Lait Spots
2016-10-01,32,False,CA,Cafe au Lait Spots
2016-11-01,27,False,CA,Cafe au Lait Spots
2016-12-01,20,False,CA,Cafe au Lait Spots
2017-01-01,28,False,CA,Cafe au Lait Spots
2017-02-01,26,False,CA,Cafe au Lait Spots
2017-03-01,21,False,CA,Cafe au Lait Spots
2017-04-01,43,False,CA,Cafe au Lait Spots
2017-05-01,48,False,CA,Cafe au Lait Spots
2017-06-01,48,False,CA,Cafe au Lait Spots
2017-07-01,24,False,CA,Cafe au Lait Spots
2017-08-01,40,False,CA,Cafe au Lait Spots
2017-09-01,32,False,CA,Cafe au Lait Spots
2017-10-01,24,False,CA,Cafe au Lait Spots
2017-11-01,31,False,CA,Cafe au Lait Spots
2017-12-01,23,False,CA,Cafe au Lait Spots
2018-01-01,33,False,CA,Cafe au Lait Spots
2018-02-01,30,False,CA,Cafe au Lait Spots
2018-03-01,34,False,CA,Cafe au Lait Spots
2018-04-01,30,False,CA,Cafe au Lait Spots
2018-05-01,32,False,CA,Cafe au Lait Spots
2018-06-01,31,False,CA,Cafe au Lait Spots
2018-07-01,36,False,CA,Cafe au Lait Spots
2018-08-01,30,False,CA,Cafe au Lait Spots
2018-09-01,32,True,CA,Cafe au Lait Spots
date,Cafe au Lait Spots,isPartial,state,symptom
2004-01-01,100,False,CO,Cafe au Lait Spots
2004-02-01,0,False,CO,Cafe au Lait Spots
2004-03-01,0,False,CO,Cafe au Lait Spots
2004-04-01,0,False,CO,Cafe au Lait Spots
2004-05-01,0,False,CO,Cafe au Lait Spots
2004-06-01,0,False,CO,Cafe au Lait Spots
2004-07-01,0,False,CO,Cafe au Lait Spots
2004-08-01,0,False,CO,Cafe au Lait Spots
2004-09-01,0,False,CO,Cafe au Lait Spots
2004-10-01,0,False,CO,Cafe au Lait Spots
2004-11-01,0,False,CO,Cafe au Lait Spots
2004-12-01,79,False,CO,Cafe au Lait Spots
2005-01-01,0,False,CO,Cafe au Lait Spots
2005-02-01,0,False,CO,Cafe au Lait Spots
2005-03-01,0,False,CO,Cafe au Lait Spots
2005-04-01,0,False,CO,Cafe au Lait Spots
2005-05-01,0,False,CO,Cafe au Lait Spots
2005-06-01,0,False,CO,Cafe au Lait Spots
2005-07-01,0,False,CO,Cafe au Lait Spots
2005-08-01,57,False,CO,Cafe au Lait Spots
2005-09-01,0,False,CO,Cafe au Lait Spots
2005-10-01,50,False,CO,Cafe au Lait Spots
2005-11-01,0,False,CO,Cafe au Lait Spots
2005-12-01,0,False,CO,Cafe au Lait Spots
2006-01-01,0,False,CO,Cafe au Lait Spots
2006-02-01,0,False,CO,Cafe au Lait Spots
2006-03-01,0,False,CO,Cafe au Lait Spots
2006-04-01,40,False,CO,Cafe au Lait Spots
2006-05-01,0,False,CO,Cafe au Lait Spots
2006-06-01,0,False,CO,Cafe au Lait Spots
2006-07-01,0,False,CO,Cafe au Lait Spots
2006-08-01,0,False,CO,Cafe au Lait Spots
2006-09-01,0,False,CO,Cafe au Lait Spots
2006-10-01,0,False,CO,Cafe au Lait Spots
2006-11-01,0,False,CO,Cafe au Lait Spots
2006-12-01,0,False,CO,Cafe au Lait Spots
2007-01-01,0,False,CO,Cafe au Lait Spots
2007-02-01,0,False,CO,Cafe au Lait Spots
2007-03-01,0,False,CO,Cafe au Lait Spots
2007-04-01,0,False,CO,Cafe au Lait Spots
2007-05-01,0,False,CO,Cafe au Lait Spots
2007-06-01,0,False,CO,Cafe au Lait Spots
2007-07-01,0,False,CO,Cafe au Lait Spots
2007-08-01,23,False,CO,Cafe au Lait Spots
2007-09-01,0,False,CO,Cafe au Lait Spots
2007-10-01,0,False,CO,Cafe au Lait Spots
2007-11-01,0,False,CO,Cafe au Lait Spots
2007-12-01,0,False,CO,Cafe au Lait Spots
2008-01-01,0,False,CO,Cafe au Lait Spots
2008-02-01,0,False,CO,Cafe au Lait Spots
2008-03-01,0,False,CO,Cafe au Lait Spots
2008-04-01,0,False,CO,Cafe au Lait Spots
2008-05-01,0,False,CO,Cafe au Lait Spots
2008-06-01,0,False,CO,Cafe au Lait Spots
2008-07-01,19,False,CO,Cafe au Lait Spots
2008-08-01,0,False,CO,Cafe au Lait Spots
2008-09-01,17,False,CO,Cafe au Lait Spots
2008-10-01,0,False,CO,Cafe au Lait Spots
2008-11-01,0,False,CO,Cafe au Lait Spots
2008-12-01,16,False,CO,Cafe au Lait Spots
2009-01-01,0,False,CO,Cafe au Lait Spots
2009-02-01,0,False,CO,Cafe au Lait Spots
2009-03-01,0,False,CO,Cafe au Lait Spots
2009-04-01,0,False,CO,Cafe au Lait Spots
2009-05-01,0,False,CO,Cafe au Lait Spots
2009-06-01,0,False,CO,Cafe au Lait Spots
2009-07-01,17,False,CO,Cafe au Lait Spots
2009-08-01,35,False,CO,Cafe au Lait Spots
2009-09-01,17,False,CO,Cafe au Lait Spots
2009-10-01,0,False,CO,Cafe au Lait Spots
2009-11-01,17,False,CO,Cafe au Lait Spots
2009-12-01,0,False,CO,Cafe au Lait Spots
2010-01-01,0,False,CO,Cafe au Lait Spots
2010-02-01,16,False,CO,Cafe au Lait Spots
2010-03-01,0,False,CO,Cafe au Lait Spots
2010-04-01,15,False,CO,Cafe au Lait Spots
2010-05-01,17,False,CO,Cafe au Lait Spots
2010-06-01,0,False,CO,Cafe au Lait Spots
2010-07-01,0,False,CO,Cafe au Lait Spots
2010-08-01,0,False,CO,Cafe au Lait Spots
2010-09-01,0,False,CO,Cafe au Lait Spots
2010-10-01,0,False,CO,Cafe au Lait Spots
2010-11-01,14,False,CO,Cafe au Lait Spots
2010-12-01,14,False,CO,Cafe au Lait Spots
2011-01-01,0,False,CO,Cafe au Lait Spots
2011-02-01,9,False,CO,Cafe au Lait Spots
2011-03-01,8,False,CO,Cafe au Lait Spots
2011-04-01,0,False,CO,Cafe au Lait Spots
2011-05-01,0,False,CO,Cafe au Lait Spots
2011-06-01,9,False,CO,Cafe au Lait Spots
2011-07-01,8,False,CO,Cafe au Lait Spots
2011-08-01,0,False,CO,Cafe au Lait Spots
2011-09-01,8,False,CO,Cafe au Lait Spots
2011-10-01,15,False,CO,Cafe au Lait Spots
2011-11-01,0,False,CO,Cafe au Lait Spots
2011-12-01,7,False,CO,Cafe au Lait Spots
2012-01-01,0,False,CO,Cafe au Lait Spots
2012-02-01,0,False,CO,Cafe au Lait Spots
2012-03-01,0,False,CO,Cafe au Lait Spots
2012-04-01,14,False,CO,Cafe au Lait Spots
2012-05-01,0,False,CO,Cafe au Lait Spots
2012-06-01,0,False,CO,Cafe au Lait Spots
2012-07-01,6,False,CO,Cafe au Lait Spots
2012-08-01,6,False,CO,Cafe au Lait Spots
2012-09-01,13,False,CO,Cafe au Lait Spots
2012-10-01,0,False,CO,Cafe au Lait Spots
2012-11-01,6,False,CO,Cafe au Lait Spots
2012-12-01,6,False,CO,Cafe au Lait Spots
2013-01-01,5,False,CO,Cafe au Lait Spots
2013-02-01,0,False,CO,Cafe au Lait Spots
2013-03-01,0,False,CO,Cafe au Lait Spots
2013-04-01,5,False,CO,Cafe au Lait Spots
2013-05-01,6,False,CO,Cafe au Lait Spots
2013-06-01,6,False,CO,Cafe au Lait Spots
2013-07-01,0,False,CO,Cafe au Lait Spots
2013-08-01,6,False,CO,Cafe au Lait Spots
2013-09-01,6,False,CO,Cafe au Lait Spots
2013-10-01,0,False,CO,Cafe au Lait Spots
2013-11-01,12,False,CO,Cafe au Lait Spots
2013-12-01,5,False,CO,Cafe au Lait Spots
2014-01-01,5,False,CO,Cafe au Lait Spots
2014-02-01,0,False,CO,Cafe au Lait Spots
2014-03-01,9,False,CO,Cafe au Lait Spots
2014-04-01,5,False,CO,Cafe au Lait Spots
2014-05-01,5,False,CO,Cafe au Lait Spots
2014-06-01,6,False,CO,Cafe au Lait Spots
2014-07-01,0,False,CO,Cafe au Lait Spots
2014-08-01,5,False,CO,Cafe au Lait Spots
2014-09-01,5,False,CO,Cafe au Lait Spots
2014-10-01,0,False,CO,Cafe au Lait Spots
2014-11-01,9,False,CO,Cafe au Lait Spots
2014-12-01,0,False,CO,Cafe au Lait Spots
2015-01-01,0,False,CO,Cafe au Lait Spots
2015-02-01,6,False,CO,Cafe au Lait Spots
2015-03-01,6,False,CO,Cafe au Lait Spots
2015-04-01,7,False,CO,Cafe au Lait Spots
2015-05-01,0,False,CO,Cafe au Lait Spots
2015-06-01,7,False,CO,Cafe au Lait Spots
2015-07-01,0,False,CO,Cafe au Lait Spots
2015-08-01,6,False,CO,Cafe au Lait Spots
2015-09-01,0,False,CO,Cafe au Lait Spots
2015-10-01,6,False,CO,Cafe au Lait Spots
2015-11-01,0,False,CO,Cafe au Lait Spots
2015-12-01,6,False,CO,Cafe au Lait Spots
2016-01-01,0,False,CO,Cafe au Lait Spots
2016-02-01,0,False,CO,Cafe au Lait Spots
2016-03-01,5,False,CO,Cafe au Lait Spots
2016-04-01,5,False,CO,Cafe au Lait Spots
2016-05-01,19,False,CO,Cafe au Lait Spots
2016-06-01,8,False,CO,Cafe au Lait Spots
2016-07-01,10,False,CO,Cafe au Lait Spots
2016-08-01,5,False,CO,Cafe au Lait Spots
2016-09-01,10,False,CO,Cafe au Lait Spots
2016-10-01,5,False,CO,Cafe au Lait Spots
2016-11-01,0,False,CO,Cafe au Lait Spots
2016-12-01,0,False,CO,Cafe au Lait Spots
2017-01-01,4,False,CO,Cafe au Lait Spots
2017-02-01,4,False,CO,Cafe au Lait Spots
2017-03-01,12,False,CO,Cafe au Lait Spots
2017-04-01,4,False,CO,Cafe au Lait Spots
2017-05-01,4,False,CO,Cafe au Lait Spots
2017-06-01,5,False,CO,Cafe au Lait Spots
2017-07-01,4,False,CO,Cafe au Lait Spots
2017-08-01,4,False,CO,Cafe au Lait Spots
2017-09-01,6,False,CO,Cafe au Lait Spots
2017-10-01,0,False,CO,Cafe au Lait Spots
2017-11-01,4,False,CO,Cafe au Lait Spots
2017-12-01,4,False,CO,Cafe au Lait Spots
2018-01-01,0,False,CO,Cafe au Lait Spots
2018-02-01,0,False,CO,Cafe au Lait Spots
2018-03-01,8,False,CO,Cafe au Lait Spots
2018-04-01,4,False,CO,Cafe au Lait Spots
2018-05-01,4,False,CO,Cafe au Lait Spots
2018-06-01,6,False,CO,Cafe au Lait Spots
2018-07-01,4,False,CO,Cafe au Lait Spots
2018-08-01,8,False,CO,Cafe au Lait Spots
2018-09-01,7,True,CO,Cafe au Lait Spots
,state,symptom
,state,symptom
,state,symptom
date,Cafe au Lait Spots,isPartial,state,symptom
2004-01-01,0,False,FL,Cafe au Lait Spots
2004-02-01,0,False,FL,Cafe au Lait Spots
2004-03-01,0,False,FL,Cafe au Lait Spots
2004-04-01,0,False,FL,Cafe au Lait Spots
2004-05-01,0,False,FL,Cafe au Lait Spots
2004-06-01,0,False,FL,Cafe au Lait Spots
2004-07-01,0,False,FL,Cafe au Lait Spots
2004-08-01,65,False,FL,Cafe au Lait Spots
2004-09-01,0,False,FL,Cafe au Lait Spots
2004-10-01,64,False,FL,Cafe au Lait Spots
2004-11-01,0,False,FL,Cafe au Lait Spots
2004-12-01,0,False,FL,Cafe au Lait Spots
2005-01-01,0,False,FL,Cafe au Lait Spots
2005-02-01,0,False,FL,Cafe au Lait Spots
2005-03-01,0,False,FL,Cafe au Lait Spots
2005-04-01,100,False,FL,Cafe au Lait Spots
2005-05-01,0,False,FL,Cafe au Lait Spots
2005-06-01,45,False,FL,Cafe au Lait Spots
2005-07-01,0,False,FL,Cafe au Lait Spots
2005-08-01,41,False,FL,Cafe au Lait Spots
2005-09-01,0,False,FL,Cafe au Lait Spots
2005-10-01,0,False,FL,Cafe au Lait Spots
2005-11-01,0,False,FL,Cafe au Lait Spots
2005-12-01,0,False,FL,Cafe au Lait Spots
2006-01-01,0,False,FL,Cafe au Lait Spots
2006-02-01,0,False,FL,Cafe au Lait Spots
2006-03-01,28,False,FL,Cafe au Lait Spots
2006-04-01,0,False,FL,Cafe au Lait Spots
2006-05-01,28,False,FL,Cafe au Lait Spots
2006-06-01,29,False,FL,Cafe au Lait Spots
2006-07-01,27,False,FL,Cafe au Lait Spots
2006-08-01,0,False,FL,Cafe au Lait Spots
2006-09-01,0,False,FL,Cafe au Lait Spots
2006-10-01,23,False,FL,Cafe au Lait Spots
2006-11-01,0,False,FL,Cafe au Lait Spots
2006-12-01,0,False,FL,Cafe au Lait Spots
2007-01-01,0,False,FL,Cafe au Lait Spots
2007-02-01,21,False,FL,Cafe au Lait Spots
2007-03-01,0,False,FL,Cafe au Lait Spots
2007-04-01,19,False,FL,Cafe au Lait Spots
2007-05-01,18,False,FL,Cafe au Lait Spots
2007-06-01,0,False,FL,Cafe au Lait Spots
2007-07-01,0,False,FL,Cafe au Lait Spots
2007-08-01,0,False,FL,Cafe au Lait Spots
2007-09-01,17,False,FL,Cafe au Lait Spots
2007-10-01,16,False,FL,Cafe au Lait Spots
2007-11-01,0,False,FL,Cafe au Lait Spots
2007-12-01,16,False,FL,Cafe au Lait Spots
2008-01-01,14,False,FL,Cafe au Lait Spots
2008-02-01,0,False,FL,Cafe au Lait Spots
2008-03-01,0,False,FL,Cafe au Lait Spots
2008-04-01,0,False,FL,Cafe au Lait Spots
2008-05-01,14,False,FL,Cafe au Lait Spots
2008-06-01,15,False,FL,Cafe au Lait Spots
2008-07-01,0,False,FL,Cafe au Lait Spots
2008-08-01,21,False,FL,Cafe au Lait Spots
2008-09-01,14,False,FL,Cafe au Lait Spots
2008-10-01,0,False,FL,Cafe au Lait Spots
2008-11-01,0,False,FL,Cafe au Lait Spots
2008-12-01,14,False,FL,Cafe au Lait Spots
2009-01-01,0,False,FL,Cafe au Lait Spots
2009-02-01,14,False,FL,Cafe au Lait Spots
2009-03-01,12,False,FL,Cafe au Lait Spots
2009-04-01,12,False,FL,Cafe au Lait Spots
2009-05-01,0,False,FL,Cafe au Lait Spots
2009-06-01,13,False,FL,Cafe au Lait Spots
2009-07-01,37,False,FL,Cafe au Lait Spots
2009-08-01,12,False,FL,Cafe au Lait Spots
2009-09-01,12,False,FL,Cafe au Lait Spots
2009-10-01,11,False,FL,Cafe au Lait Spots
2009-11-01,12,False,FL,Cafe au Lait Spots
2009-12-01,12,False,FL,Cafe au Lait Spots
2010-01-01,0,False,FL,Cafe au Lait Spots
2010-02-01,11,False,FL,Cafe au Lait Spots
2010-03-01,20,False,FL,Cafe au Lait Spots
2010-04-01,0,False,FL,Cafe au Lait Spots
2010-05-01,12,False,FL,Cafe au Lait Spots
2010-06-01,0,False,FL,Cafe au Lait Spots
2010-07-01,11,False,FL,Cafe au Lait Spots
2010-08-01,20,False,FL,Cafe au Lait Spots
2010-09-01,0,False,FL,Cafe au Lait Spots
2010-10-01,0,False,FL,Cafe au Lait Spots
2010-11-01,0,False,FL,Cafe au Lait Spots
2010-12-01,0,False,FL,Cafe au Lait Spots
2011-01-01,5,False,FL,Cafe au Lait Spots
2011-02-01,11,False,FL,Cafe au Lait Spots
2011-03-01,20,False,FL,Cafe au Lait Spots
2011-04-01,13,False,FL,Cafe au Lait Spots
2011-05-01,0,False,FL,Cafe au Lait Spots
2011-06-01,5,False,FL,Cafe au Lait Spots
2011-07-01,10,False,FL,Cafe au Lait Spots
2011-08-01,7,False,FL,Cafe au Lait Spots
2011-09-01,12,False,FL,Cafe au Lait Spots
2011-10-01,5,False,FL,Cafe au Lait Spots
2011-11-01,7,False,FL,Cafe au Lait Spots
2011-12-01,14,False,FL,Cafe au Lait Spots
2012-01-01,14,False,FL,Cafe au Lait Spots
2012-02-01,9,False,FL,Cafe au Lait Spots
2012-03-01,6,False,FL,Cafe au Lait Spots
2012-04-01,8,False,FL,Cafe au Lait Spots
2012-05-01,13,False,FL,Cafe au Lait Spots
2012-06-01,7,False,FL,Cafe au Lait Spots
2012-07-01,12,False,FL,Cafe au Lait Spots
2012-08-01,7,False,FL,Cafe au Lait Spots
2012-09-01,6,False,FL,Cafe au Lait Spots
2012-10-01,0,False,FL,Cafe au Lait Spots
2012-11-01,3,False,FL,Cafe au Lait Spots
2012-12-01,4,False,FL,Cafe au Lait Spots
2013-01-01,9,False,FL,Cafe au Lait Spots
2013-02-01,7,False,FL,Cafe au Lait Spots
2013-03-01,10,False,FL,Cafe au Lait Spots
2013-04-01,5,False,FL,Cafe au Lait Spots
2013-05-01,8,False,FL,Cafe au Lait Spots
2013-06-01,6,False,FL,Cafe au Lait Spots
2013-07-01,13,False,FL,Cafe au Lait Spots
2013-08-01,3,False,FL,Cafe au Lait Spots
2013-09-01,3,False,FL,Cafe au Lait Spots
2013-10-01,7,False,FL,Cafe au Lait Spots
2013-11-01,6,False,FL,Cafe au Lait Spots
2013-12-01,3,False,FL,Cafe au Lait Spots
2014-01-01,6,False,FL,Cafe au Lait Spots
2014-02-01,12,False,FL,Cafe au Lait Spots
2014-03-01,3,False,FL,Cafe au Lait Spots
2014-04-01,14,False,FL,Cafe au Lait Spots
2014-05-01,8,False,FL,Cafe au Lait Spots
2014-06-01,6,False,FL,Cafe au Lait Spots
2014-07-01,7,False,FL,Cafe au Lait Spots
2014-08-01,7,False,FL,Cafe au Lait Spots
2014-09-01,11,False,FL,Cafe au Lait Spots
2014-10-01,10,False,FL,Cafe au Lait Spots
2014-11-01,8,False,FL,Cafe au Lait Spots
2014-12-01,4,False,FL,Cafe au Lait Spots
2015-01-01,4,False,FL,Cafe au Lait Spots
2015-02-01,10,False,FL,Cafe au Lait Spots
2015-03-01,6,False,FL,Cafe au Lait Spots
2015-04-01,4,False,FL,Cafe au Lait Spots
2015-05-01,6,False,FL,Cafe au Lait Spots
2015-06-01,8,False,FL,Cafe au Lait Spots
2015-07-01,11,False,FL,Cafe au Lait Spots
2015-08-01,7,False,FL,Cafe au Lait Spots
2015-09-01,11,False,FL,Cafe au Lait Spots
2015-10-01,3,False,FL,Cafe au Lait Spots
2015-11-01,7,False,FL,Cafe au Lait Spots
2015-12-01,3,False,FL,Cafe au Lait Spots
2016-01-01,8,False,FL,Cafe au Lait Spots
2016-02-01,10,False,FL,Cafe au Lait Spots
2016-03-01,6,False,FL,Cafe au Lait Spots
2016-04-01,9,False,FL,Cafe au Lait Spots
2016-05-01,9,False,FL,Cafe au Lait Spots
2016-06-01,12,False,FL,Cafe au Lait Spots
2016-07-01,8,False,FL,Cafe au Lait Spots
2016-08-01,14,False,FL,Cafe au Lait Spots
2016-09-01,5,False,FL,Cafe au Lait Spots
2016-10-01,6,False,FL,Cafe au Lait Spots
2016-11-01,5,False,FL,Cafe au Lait Spots
2016-12-01,5,False,FL,Cafe au Lait Spots
2017-01-01,7,False,FL,Cafe au Lait Spots
2017-02-01,5,False,FL,Cafe au Lait Spots
2017-03-01,9,False,FL,Cafe au Lait Spots
2017-04-01,6,False,FL,Cafe au Lait Spots
2017-05-01,2,False,FL,Cafe au Lait Spots
2017-06-01,5,False,FL,Cafe au Lait Spots
2017-07-01,9,False,FL,Cafe au Lait Spots
2017-08-01,9,False,FL,Cafe au Lait Spots
2017-09-01,6,False,FL,Cafe au Lait Spots
2017-10-01,5,False,FL,Cafe au Lait Spots
2017-11-01,9,False,FL,Cafe au Lait Spots
2017-12-01,6,False,FL,Cafe au Lait Spots
2018-01-01,7,False,FL,Cafe au Lait Spots
2018-02-01,8,False,FL,Cafe au Lait Spots
2018-03-01,4,False,FL,Cafe au Lait Spots
2018-04-01,8,False,FL,Cafe au Lait Spots
2018-05-01,4,False,FL,Cafe au Lait Spots
2018-06-01,9,False,FL,Cafe au Lait Spots
2018-07-01,16,False,FL,Cafe au Lait Spots
2018-08-01,8,False,FL,Cafe au Lait Spots
2018-09-01,4,True,FL,Cafe au Lait Spots
date,Cafe au Lait Spots,isPartial,state,symptom
2004-01-01,0,False,GA,Cafe au Lait Spots
2004-02-01,100,False,GA,Cafe au Lait Spots
2004-03-01,0,False,GA,Cafe au Lait Spots
2004-04-01,0,False,GA,Cafe au Lait Spots
2004-05-01,0,False,GA,Cafe au Lait Spots
2004-06-01,91,False,GA,Cafe au Lait Spots
2004-07-01,0,False,GA,Cafe au Lait Spots
2004-08-01,84,False,GA,Cafe au Lait Spots
2004-09-01,0,False,GA,Cafe au Lait Spots
2004-10-01,0,False,GA,Cafe au Lait Spots
2004-11-01,0,False,GA,Cafe au Lait Spots
2004-12-01,80,False,GA,Cafe au Lait Spots
2005-01-01,68,False,GA,Cafe au Lait Spots
2005-02-01,0,False,GA,Cafe au Lait Spots
2005-03-01,0,False,GA,Cafe au Lait Spots
2005-04-01,0,False,GA,Cafe au Lait Spots
2005-05-01,0,False,GA,Cafe au Lait Spots
2005-06-01,0,False,GA,Cafe au Lait Spots
2005-07-01,0,False,GA,Cafe au Lait Spots
2005-08-01,0,False,GA,Cafe au Lait Spots
2005-09-01,53,False,GA,Cafe au Lait Spots
2005-10-01,50,False,GA,Cafe au Lait Spots
2005-11-01,0,False,GA,Cafe au Lait Spots
2005-12-01,0,False,GA,Cafe au Lait Spots
2006-01-01,0,False,GA,Cafe au Lait Spots
2006-02-01,0,False,GA,Cafe au Lait Spots
2006-03-01,0,False,GA,Cafe au Lait Spots
2006-04-01,0,False,GA,Cafe au Lait Spots
2006-05-01,0,False,GA,Cafe au Lait Spots
2006-06-01,0,False,GA,Cafe au Lait Spots
2006-07-01,0,False,GA,Cafe au Lait Spots
2006-08-01,0,False,GA,Cafe au Lait Spots
2006-09-01,0,False,GA,Cafe au Lait Spots
2006-10-01,0,False,GA,Cafe au Lait Spots
2006-11-01,0,False,GA,Cafe au Lait Spots
2006-12-01,0,False,GA,Cafe au Lait Spots
2007-01-01,0,False,GA,Cafe au Lait Spots
2007-02-01,0,False,GA,Cafe au Lait Spots
2007-03-01,0,False,GA,Cafe au Lait Spots
2007-04-01,0,False,GA,Cafe au Lait Spots
2007-05-01,0,False,GA,Cafe au Lait Spots
2007-06-01,0,False,GA,Cafe au Lait Spots
2007-07-01,0,False,GA,Cafe au Lait Spots
2007-08-01,46,False,GA,Cafe au Lait Spots
2007-09-01,0,False,GA,Cafe au Lait Spots
2007-10-01,22,False,GA,Cafe au Lait Spots
2007-11-01,0,False,GA,Cafe au Lait Spots
2007-12-01,0,False,GA,Cafe au Lait Spots
2008-01-01,0,False,GA,Cafe au Lait Spots
2008-02-01,0,False,GA,Cafe au Lait Spots
2008-03-01,0,False,GA,Cafe au Lait Spots
2008-04-01,0,False,GA,Cafe au Lait Spots
2008-05-01,0,False,GA,Cafe au Lait Spots
2008-06-01,0,False,GA,Cafe au Lait Spots
2008-07-01,20,False,GA,Cafe au Lait Spots
2008-08-01,20,False,GA,Cafe au Lait Spots
2008-09-01,0,False,GA,Cafe au Lait Spots
2008-10-01,0,False,GA,Cafe au Lait Spots
2008-11-01,0,False,GA,Cafe au Lait Spots
2008-12-01,0,False,GA,Cafe au Lait Spots
2009-01-01,18,False,GA,Cafe au Lait Spots
2009-02-01,0,False,GA,Cafe au Lait Spots
2009-03-01,0,False,GA,Cafe au Lait Spots
2009-04-01,0,False,GA,Cafe au Lait Spots
2009-05-01,18,False,GA,Cafe au Lait Spots
2009-06-01,0,False,GA,Cafe au Lait Spots
2009-07-01,18,False,GA,Cafe au Lait Spots
2009-08-01,53,False,GA,Cafe au Lait Spots
2009-09-01,17,False,GA,Cafe au Lait Spots
2009-10-01,25,False,GA,Cafe au Lait Spots
2009-11-01,0,False,GA,Cafe au Lait Spots
2009-12-01,0,False,GA,Cafe au Lait Spots
2010-01-01,16,False,GA,Cafe au Lait Spots
2010-02-01,17,False,GA,Cafe au Lait Spots
2010-03-01,0,False,GA,Cafe au Lait Spots
2010-04-01,0,False,GA,Cafe au Lait Spots
2010-05-01,17,False,GA,Cafe au Lait Spots
2010-06-01,17,False,GA,Cafe au Lait Spots
2010-07-01,23,False,GA,Cafe au Lait Spots
2010-08-01,14,False,GA,Cafe au Lait Spots
2010-09-01,29,False,GA,Cafe au Lait Spots
2010-10-01,13,False,GA,Cafe au Lait Spots
2010-11-01,13,False,GA,Cafe au Lait Spots
2010-12-01,13,False,GA,Cafe au Lait Spots
2011-01-01,8,False,GA,Cafe au Lait Spots
2011-02-01,13,False,GA,Cafe au Lait Spots
2011-03-01,15,False,GA,Cafe au Lait Spots
2011-04-01,8,False,GA,Cafe au Lait Spots
2011-05-01,16,False,GA,Cafe au Lait Spots
2011-06-01,12,False,GA,Cafe au Lait Spots
2011-07-01,12,False,GA,Cafe au Lait Spots
2011-08-01,7,False,GA,Cafe au Lait Spots
2011-09-01,8,False,GA,Cafe au Lait Spots
2011-10-01,7,False,GA,Cafe au Lait Spots
2011-11-01,0,False,GA,Cafe au Lait Spots
2011-12-01,7,False,GA,Cafe au Lait Spots
2012-01-01,0,False,GA,Cafe au Lait Spots
2012-02-01,6,False,GA,Cafe au Lait Spots
2012-03-01,24,False,GA,Cafe au Lait Spots
2012-04-01,12,False,GA,Cafe au Lait Spots
2012-05-01,12,False,GA,Cafe au Lait Spots
2012-06-01,12,False,GA,Cafe au Lait Spots
2012-07-01,6,False,GA,Cafe au Lait Spots
2012-08-01,6,False,GA,Cafe au Lait Spots
2012-09-01,6,False,GA,Cafe au Lait Spots
2012-10-01,11,False,GA,Cafe au Lait Spots
2012-11-01,0,False,GA,Cafe au Lait Spots
2012-12-01,8,False,GA,Cafe au Lait Spots
2013-01-01,11,False,GA,Cafe au Lait Spots
2013-02-01,5,False,GA,Cafe au Lait Spots
2013-03-01,10,False,GA,Cafe au Lait Spots
2013-04-01,10,False,GA,Cafe au Lait Spots
2013-05-01,5,False,GA,Cafe au Lait Spots
2013-06-01,11,False,GA,Cafe au Lait Spots
2013-07-01,8,False,GA,Cafe au Lait Spots
2013-08-01,0,False,GA,Cafe au Lait Spots
2013-09-01,5,False,GA,Cafe au Lait Spots
2013-10-01,5,False,GA,Cafe au Lait Spots
2013-11-01,10,False,GA,Cafe au Lait Spots
2013-12-01,12,False,GA,Cafe au Lait Spots
2014-01-01,10,False,GA,Cafe au Lait Spots
2014-02-01,5,False,GA,Cafe au Lait Spots
2014-03-01,5,False,GA,Cafe au Lait Spots
2014-04-01,5,False,GA,Cafe au Lait Spots
2014-05-01,11,False,GA,Cafe au Lait Spots
2014-06-01,6,False,GA,Cafe au Lait Spots
2014-07-01,8,False,GA,Cafe au Lait Spots
2014-08-01,16,False,GA,Cafe au Lait Spots
2014-09-01,11,False,GA,Cafe au Lait Spots
2014-10-01,8,False,GA,Cafe au Lait Spots
2014-11-01,17,False,GA,Cafe au Lait Spots
2014-12-01,6,False,GA,Cafe au Lait Spots
2015-01-01,16,False,GA,Cafe au Lait Spots
2015-02-01,6,False,GA,Cafe au Lait Spots
2015-03-01,5,False,GA,Cafe au Lait Spots
2015-04-01,11,False,GA,Cafe au Lait Spots
